stateCode,sourceCode,sectorCode,year,msnCode,energyProduced
MO,PA,EI,1960,PAEIB,1980
MO,PA,IC,1960,PAICB,102720
MO,PA,RC,1960,PARCB,26009
MO,PA,TC,1960,PATCB,403574
MO,RE,TC,1960,RETCB,41442
MS,CL,AC,1960,CLACB,9
MS,CL,CC,1960,CLCCB,0
MS,CL,EI,1960,CLEIB,200
MS,CL,IC,1960,CLICB,544
MS,CL,RC,1960,CLRCB,0
MS,CL,TC,1960,CLTXB,553
MS,NG,AC,1960,NGACB,32483
MS,NG,CC,1960,NGCCB,15702
MS,NG,EI,1960,NGEIB,35561
MS,NG,IC,1960,NGICB,79258
MS,NG,RC,1960,NGRCB,24870
MS,NG,TC,1960,NGTXB,152314
MS,NU,TC,1960,NUETB,0
MS,PA,AC,1960,PAACB,96791
MS,PA,CC,1960,PACCB,3358
MS,PA,EI,1960,PAEIB,405
MS,PA,IC,1960,PAICB,33102
MS,PA,RC,1960,PARCB,8610
MS,PA,TC,1960,PATCB,142266
MS,RE,TC,1960,RETCB,46565
MT,CL,AC,1960,CLACB,14
MT,CL,CC,1960,CLCCB,263
MT,CL,EI,1960,CLEIB,2522
MT,CL,IC,1960,CLICB,822
MT,CL,RC,1960,CLRCB,378
MT,CL,TC,1960,CLTXB,1477
MT,NG,AC,1960,NGACB,502
MT,NG,CC,1960,NGCCB,12301
MT,NG,EI,1960,NGEIB,353
MT,NG,IC,1960,NGICB,26972
MT,NG,RC,1960,NGRCB,17510
MT,NG,TC,1960,NGTXB,57285
MT,NU,TC,1960,NUETB,0
MT,PA,AC,1960,PAACB,57721
MT,PA,CC,1960,PACCB,5504
MT,PA,EI,1960,PAEIB,0
MT,PA,IC,1960,PAICB,40346
MT,PA,RC,1960,PARCB,3399
MT,PA,TC,1960,PATCB,106971
MT,RE,TC,1960,RETCB,69936
NC,CL,AC,1960,CLACB,1058
NC,CL,CC,1960,CLCCB,10106
NC,CL,EI,1960,CLEIB,144024
NC,CL,IC,1960,CLICB,61612
NC,CL,RC,1960,CLRCB,14542
NC,CL,TC,1960,CLTXB,87318
NC,NG,AC,1960,NGACB,2523
NC,NG,CC,1960,NGCCB,3836
NC,NG,EI,1960,NGEIB,4823
NC,NG,IC,1960,NGICB,26993
NC,NG,RC,1960,NGRCB,8858
NC,NG,TC,1960,NGTXB,42210
NC,NU,TC,1960,NUETB,0
NC,PA,AC,1960,PAACB,228385
NC,PA,CC,1960,PACCB,12000
NC,PA,EI,1960,PAEIB,468
NC,PA,IC,1960,PAICB,79361
NC,PA,RC,1960,PARCB,98714
NC,PA,TC,1960,PATCB,418929
NC,RE,TC,1960,RETCB,127507
ND,CL,AC,1960,CLACB,133
ND,CL,CC,1960,CLCCB,3547
ND,CL,EI,1960,CLEIB,14028
ND,CL,IC,1960,CLICB,7719
ND,CL,RC,1960,CLRCB,5104
ND,CL,TC,1960,CLTXB,16502
ND,NG,AC,1960,NGACB,7
ND,NG,CC,1960,NGCCB,2950
ND,NG,EI,1960,NGEIB,106
ND,NG,IC,1960,NGICB,20340
ND,NG,RC,1960,NGRCB,3953
ND,NG,TC,1960,NGTXB,27250
ND,NU,TC,1960,NUETB,0
ND,PA,AC,1960,PAACB,41555
ND,PA,CC,1960,PACCB,2364
ND,PA,EI,1960,PAEIB,121
ND,PA,IC,1960,PAICB,44669
ND,PA,RC,1960,PARCB,12939
ND,PA,TC,1960,PATCB,101649
ND,RE,TC,1960,RETCB,11880
NE,CL,AC,1960,CLACB,154
NE,CL,CC,1960,CLCCB,1870
NE,CL,EI,1960,CLEIB,6335
NE,CL,IC,1960,CLICB,8961
NE,CL,RC,1960,CLRCB,2691
NE,CL,TC,1960,CLTXB,13675
NE,NG,AC,1960,NGACB,6514
NE,NG,CC,1960,NGCCB,22705
NE,NG,EI,1960,NGEIB,32057
NE,NG,IC,1960,NGICB,38274
NE,NG,RC,1960,NGRCB,40879
NE,NG,TC,1960,NGTXB,108373
NE,NU,TC,1960,NUETB,0
NE,PA,AC,1960,PAACB,87553
NE,PA,CC,1960,PACCB,2483
NE,PA,EI,1960,PAEIB,973
NE,PA,IC,1960,PAICB,34758
NE,PA,RC,1960,PARCB,10233
NE,PA,TC,1960,PATCB,136000
NE,RE,TC,1960,RETCB,13425
NH,CL,AC,1960,CLACB,42
NH,CL,CC,1960,CLCCB,210
NH,CL,EI,1960,CLEIB,2386
NH,CL,IC,1960,CLICB,2451
NH,CL,RC,1960,CLRCB,302
NH,CL,TC,1960,CLTXB,3004
NH,NG,AC,1960,NGACB,0
NH,NG,CC,1960,NGCCB,519
NH,NG,EI,1960,NGEIB,0
NH,NG,IC,1960,NGICB,682
NH,NG,RC,1960,NGRCB,1751
NH,NG,TC,1960,NGTXB,2952
NH,NU,TC,1960,NUETB,0
NH,PA,AC,1960,PAACB,33638
NH,PA,CC,1960,PACCB,3221
NH,PA,EI,1960,PAEIB,9406
NH,PA,IC,1960,PAICB,10156
NH,PA,RC,1960,PARCB,26961
NH,PA,TC,1960,PATCB,83382
NH,RE,TC,1960,RETCB,25629
NJ,CL,AC,1960,CLACB,1033
NJ,CL,CC,1960,CLCCB,4575
NJ,CL,EI,1960,CLEIB,95421
NJ,CL,IC,1960,CLICB,61162
NJ,CL,RC,1960,CLRCB,6584
NJ,CL,TC,1960,CLTXB,73354
NJ,NG,AC,1960,NGACB,598
NJ,NG,CC,1960,NGCCB,10692
NJ,NG,EI,1960,NGEIB,26373
NJ,NG,IC,1960,NGICB,28722
NJ,NG,RC,1960,NGRCB,77747
NJ,NG,TC,1960,NGTXB,117759
NJ,NU,TC,1960,NUETB,0
NJ,PA,AC,1960,PAACB,336288
NJ,PA,CC,1960,PACCB,100130
NJ,PA,EI,1960,PAEIB,72246
NJ,PA,IC,1960,PAICB,288569
NJ,PA,RC,1960,PARCB,158379
NJ,PA,TC,1960,PATCB,955611
NJ,RE,TC,1960,RETCB,20514
NM,CL,AC,1960,CLACB,41
NM,CL,CC,1960,CLCCB,393
NM,CL,EI,1960,CLEIB,649
NM,CL,IC,1960,CLICB,2416
NM,CL,RC,1960,CLRCB,565
NM,CL,TC,1960,CLTXB,3415
NM,NG,AC,1960,NGACB,17566
NM,NG,CC,1960,NGCCB,9334
NM,NG,EI,1960,NGEIB,34880
NM,NG,IC,1960,NGICB,124451
