stateCode,sourceCode,year,msnCode,energyProduced
IN,CL,1961,CLPRB,336695.0
IN,NG,1961,NGMPB,384.0
IN,NU,1961,NUETB,0.0
IN,PA,1961,PAPRB,66700.0
IN,RE,1961,REPRB,24199.0
KS,CL,1961,CLPRB,14150.0
KS,NG,1961,NGMPB,694499.0
KS,NU,1961,NUETB,0.0
KS,PA,1961,PAPRB,650998.0
KS,RE,1961,REPRB,3855.0
KY,CL,1961,CLPRB,1493944.0
KY,NG,1961,NGMPB,81665.0
KY,NU,1961,NUETB,0.0
KY,PA,1961,PAPRB,106395.0
KY,RE,1961,REPRB,48648.0
LA,CL,1961,CLPRB,0.0
LA,NG,1961,NGMPB,3187055.0
LA,NU,1961,NUETB,0.0
LA,PA,1961,PAPRB,2142067.0
LA,RE,1961,REPRB,37174.0
MA,CL,1961,CLPRB,0.0
MA,NG,1961,NGMPB,0.0
MA,NU,1961,NUETB,9931.0
MA,PA,1961,PAPRB,0.0
MA,RE,1961,REPRB,52769.0
MD,CL,1961,CLPRB,19161.0
MD,NG,1961,NGMPB,3657.0
MD,NU,1961,NUETB,0.0
MD,PA,1961,PAPRB,0.0
MD,RE,1961,REPRB,35723.0
ME,CL,1961,CLPRB,0.0
ME,NG,1961,NGMPB,0.0
ME,NU,1961,NUETB,0.0
ME,PA,1961,PAPRB,0.0
ME,RE,1961,REPRB,56575.0
MI,CL,1961,CLPRB,0.0
MI,NG,1961,NGMPB,30758.0
MI,NU,1961,NUETB,0.0
MI,PA,1961,PAPRB,109626.0
MI,RE,1961,REPRB,55209.0
MN,CL,1961,CLPRB,0.0
MN,NG,1961,NGMPB,0.0
MN,NU,1961,NUETB,0.0
MN,PA,1961,PAPRB,0.0
MN,RE,1961,REPRB,32478.0
MO,CL,1961,CLPRB,62040.0
MO,NG,1961,NGMPB,91.0
MO,NU,1961,NUETB,0.0
MO,PA,1961,PAPRB,418.0
MO,RE,1961,REPRB,45068.0
MS,CL,1961,CLPRB,0.0
MS,NG,1961,NGMPB,179748.0
MS,NU,1961,NUETB,0.0
MS,PA,1961,PAPRB,317190.0
MS,RE,1961,REPRB,45532.0
MT,CL,1961,CLPRB,6622.0
MT,NG,1961,NGMPB,39295.0
MT,NU,1961,NUETB,0.0
MT,PA,1961,PAPRB,179255.0
MT,RE,1961,REPRB,76550.0
NC,CL,1961,CLPRB,0.0
NC,NG,1961,NGMPB,0.0
NC,NU,1961,NUETB,0.0
NC,PA,1961,PAPRB,0.0
NC,RE,1961,REPRB,120692.0
ND,CL,1961,CLPRB,35706.0
